Tid (t) [s],Temperatur målt (T_målt) [°C]
916.0,6.430630207061768
918.0,6.406338691711426
920.0,6.392452716827393
922.0,6.369880676269531
924.0,6.34903621673584
926.0,6.345561504364014
928.0,6.307322978973389
930.0,6.310800552368164
932.0,6.276016712188721
934.0,6.262096405029297
936.0,6.249913692474365
938.0,6.237728118896484
940.0,6.227280616760254
942.0,6.213347911834717
944.0,6.192441940307617
946.0,6.155836582183838
948.0,6.1697845458984375
950.0,6.155836582183838
952.0,6.103498935699463
954.0,6.119205951690674
956.0,6.094770908355713
958.0,6.0528564453125
960.0,6.059844493865967
962.0,6.038877487182617
964.0,6.028390884399414
966.0,5.996918201446533
968.0,5.958425998687744
970.0,5.940919876098633
972.0,5.925159454345703
974.0,5.91114616394043
976.0,5.8813557624816895
978.0,5.865577220916748
980.0,5.851548194885254
982.0,5.828742504119873
984.0,5.791881561279297
986.0,5.788369655609131
988.0,5.760265350341797
990.0,5.718080520629883
992.0,5.698734283447266
994.0,5.688178539276123
996.0,5.663540363311768
998.0,5.633606910705566
1000.0,5.6107048988342285
1002.0,5.575450420379639
1004.0,5.543701171875
1006.0,5.513697624206543
1008.0,5.503103733062744
1010.0,5.487208843231201
1012.0,5.464241027832031
1014.0,5.420042991638184
1016.0,5.38465690612793
1018.0,5.37757682800293
1020.0,5.336846351623535
1022.0,5.331531524658203
1024.0,5.290763854980469
1026.0,5.288990497589111
1028.0,5.25173807144165
1030.0,5.228663444519043
1032.0,5.228663444519043
1034.0,5.1807050704956055
1036.0,5.154041290283203
1038.0,5.127363681793213
1040.0,5.1095709800720215
1042.0,5.082869529724121
1044.0,5.047245502471924
1046.0,5.0044636726379395
1048.0,5.006246566772461
1050.0,4.984842777252197
1052.0,4.947363376617432
1054.0,4.9312920570373535
1056.0,4.913428783416748
1058.0,4.8758955001831055
1060.0,4.8580121994018555
1062.0,4.8222270011901855
1064.0,4.8025336265563965
1066.0,4.788206577301025
1068.0,4.781041145324707
1070.0,4.736235618591309
1072.0,4.732649326324463
1074.0,4.694977760314941
1076.0,4.686004161834717
1078.0,4.660869598388672
1080.0,4.6500935554504395
1082.0,4.617751121520996
1084.0,4.610561370849609
1086.0,4.588984489440918
1088.0,4.578192710876465
1090.0,4.560201168060303
1092.0,4.547603130340576
1094.0,4.520596027374268
1096.0,4.500781059265137
1098.0,4.513391494750977
1100.0,4.504384517669678
1102.0,4.468339920043945
1104.0,4.459324359893799
1106.0,4.452110767364502
1108.0,4.439484596252441
1110.0,4.428659439086914
1112.0,4.4051971435546875
1114.0,4.388947010040283
1116.0,4.379917144775391
1118.0,4.360044479370117
1120.0,4.3473944664001465
1122.0,4.331125259399414
1124.0,4.296760559082031
1126.0,4.267802715301514
1128.0,4.26237154006958
1130.0,4.258749961853027
1132.0,4.222521781921387
1134.0,4.213460445404053
1136.0,4.177197456359863
1138.0,4.160870552062988
1140.0,4.1409077644348145
1142.0,4.113672256469727
1144.0,4.099140167236328
1146.0,4.079151153564453
1148.0,4.084603786468506
1150.0,4.05733585357666
1152.0,4.048243045806885
1154.0,4.04096794128418
1156.0,3.995471239089966
1158.0,3.9863667488098145
1160.0,3.995471239089966
1162.0,3.942640781402588
1164.0,3.9444634914398193
1166.0,3.9444634914398193
1168.0,3.9353489875793457
1170.0,3.9262330532073975
1172.0,3.85871958732605
1174.0,3.8824515342712402
1176.0,3.8623714447021484
1178.0,3.8842763900756836
1180.0,3.856893539428711
1182.0,3.8313217163085938
1184.0,3.7984232902526855
1186.0,3.794766426086426
1188.0,3.7691609859466553
1190.0,3.7563529014587402
1192.0,3.7453718185424805
1194.0,3.741710901260376
1196.0,3.716076612472534
1198.0,3.7124133110046387
1200.0,3.7069180011749268
1202.0,3.6720991134643555
1204.0,3.6537630558013916
1206.0,3.65743088722229
1208.0,3.6537630558013916
1210.0,3.6354198455810547
